Date,QQQM
2021-10-27,151.6896514892578
2021-10-28,153.3404998779297
2021-10-29,154.15614318847656
2021-11-01,154.612548828125
2021-11-02,155.26318359375
2021-11-03,156.95281982421875
2021-11-04,158.94349670410156
2021-11-05,159.0891571044922
2021-11-08,158.88523864746094
2021-11-09,157.80731201171875
2021-11-10,155.48651123046875
2021-11-11,155.90408325195312
2021-11-12,157.53549194335938
2021-11-15,157.50633239746094
2021-11-16,158.6521759033203
2021-11-17,158.7007598876953
2021-11-18,160.33213806152344
2021-11-19,161.2643280029297
2021-11-22,159.42904663085938
2021-11-23,158.6619110107422
2021-11-24,159.1571502685547
2021-11-26,156.1468505859375
2021-11-29,159.50669860839844
2021-11-30,157.20533752441406
2021-12-01,154.612548828125
2021-12-02,155.67103576660156
2021-12-03,152.98117065429688
2021-12-06,154.16587829589844
2021-12-07,158.88523864746094
2021-12-08,159.5455780029297
2021-12-09,157.27328491210938
2021-12-10,158.91436767578125
2021-12-13,156.603271484375
2021-12-14,155.04953002929688
2021-12-15,158.39971923828125
2021-12-16,154.5154571533203
2021-12-17,153.67063903808594
2021-12-20,152.20196533203125
2021-12-21,155.51638793945312
2021-12-22,157.4215087890625
2021-12-23,158.6753692626953
2021-12-27,161.2510986328125
2021-12-28,160.56097412109375
2021-12-29,160.5220947265625
2021-12-30,159.9000244140625
2021-12-31,158.96694946289062
2022-01-03,160.60960388183594
2022-01-04,158.50042724609375
2022-01-05,153.71826171875
2022-01-06,153.5336151123047
2022-01-07,151.8909454345703
2022-01-10,152.03675842285156
2022-01-11,154.1654052734375
2022-01-12,154.89437866210938
2022-01-13,151.11338806152344
2022-01-14,151.9006805419922
2022-01-18,148.34324645996094
2022-01-19,146.55479431152344
2022-01-20,144.63999938964844
2022-01-21,140.58688354492188
2022-01-24,141.1797637939453
2022-01-25,137.84588623046875
2022-01-26,137.83616638183594
2022-01-27,136.42677307128906
2022-01-28,140.625732421875
2022-01-31,145.1259765625
2022-02-01,146.1271514892578
2022-02-02,147.31292724609375
2022-02-03,141.4032745361328
2022-02-04,143.0265350341797
2022-02-07,142.00595092773438
2022-02-08,143.5999755859375
2022-02-09,146.57421875
2022-02-10,143.38616943359375
2022-02-11,138.8081512451172
2022-02-14,138.98306274414062
2022-02-15,142.33641052246094
2022-02-16,142.33641052246094
2022-02-17,138.1277313232422
2022-02-18,136.57254028320312
2022-02-22,135.2020721435547
2022-02-23,131.67381286621094
2022-02-24,136.04771423339844
2022-02-25,138.25413513183594
2022-02-28,138.7886962890625
2022-03-01,136.48512268066406
2022-03-02,138.83731079101562
2022-03-03,136.87388610839844
2022-03-04,134.8910675048828
2022-03-07,129.9048309326172
2022-03-08,129.31192016601562
2022-03-09,133.85104370117188
2022-03-10,132.46109008789062
2022-03-11,129.73956298828125
2022-03-14,127.2513198852539
2022-03-15,131.23643493652344
2022-03-16,135.9990997314453
2022-03-17,137.68060302734375
2022-03-18,140.52854919433594
2022-03-21,140.18206787109375
2022-03-22,142.8975067138672
2022-03-23,140.86334228515625
2022-03-24,143.92921447753906
2022-03-25,143.87078857421875
2022-03-28,146.02174377441406
2022-03-29,148.59121704101562
2022-03-30,147.01449584960938
2022-03-31,144.99008178710938
2022-04-01,144.86355590820312
2022-04-04,147.8125762939453
2022-04-05,144.55209350585938
2022-04-06,141.35972595214844
2022-04-07,141.7296142578125
2022-04-08,139.82196044921875
2022-04-11,136.5906524658203
2022-04-12,135.89959716796875
2022-04-13,138.6637420654297
2022-04-14,135.49081420898438
2022-04-18,135.66600036621094
2022-04-19,138.6053009033203
2022-04-20,136.610107421875
2022-04-21,133.83621215820312
2022-04-22,130.2740478515625
2022-04-25,131.97727966308594
2022-04-26,127.0037612915039
2022-04-27,126.87725067138672
2022-04-28,131.34463500976562
2022-04-29,125.49518585205078
2022-05-02,127.5585708618164
2022-05-03,127.73371887207031
2022-05-04,132.01617431640625
2022-05-05,125.54385375976562
2022-05-06,123.86981201171875
2022-05-09,119.11044311523438
2022-05-10,120.50224304199219
2022-05-11,116.90109252929688
2022-05-12,116.62859344482422
2022-05-13,120.77477264404297
2022-05-16,119.57762908935547
2022-05-17,122.62401580810547
2022-05-18,116.67723846435547
2022-05-19,115.9180679321289
2022-05-20,115.60663604736328
2022-05-23,117.46561431884766
2022-05-24,115.012939453125
2022-05-25,116.6091079711914
2022-05-26,119.85014343261719
2022-05-27,123.79195404052734
2022-05-31,123.54862213134766
2022-06-01,122.5072250366211
2022-06-02,125.90399169921875
2022-06-03,122.546142578125
2022-06-06,123.1203842163086
2022-06-07,124.06446838378906
2022-06-08,123.15929412841797
2022-06-09,119.91828155517578
2022-06-10,115.63582611083984
2022-06-13,110.38983154296875
2022-06-14,110.5552749633789
2022-06-15,113.29021453857422
2022-06-16,108.73526000976562
2022-06-17,109.98104858398438
2022-06-21,112.73558044433594
2022-06-22,112.59907531738281
2022-06-23,114.24690246582031
2022-06-24,118.38114166259766
2022-06-27,117.2988510131836
2022-06-28,113.7593994140625
2022-06-29,113.86663818359375
2022-06-30,112.3260498046875
2022-07-01,113.16458892822266
2022-07-05,115.06596374511719
2022-07-06,115.7972412109375
2022-07-07,118.30313110351562
2022-07-08,118.42987823486328
2022-07-11,115.90450286865234
2022-07-12,114.81245422363281
2022-07-13,114.62718200683594
2022-07-14,115.01720428466797
2022-07-15,117.01606750488281
2022-07-18,116.07025909423828
2022-07-19,119.58045196533203
2022-07-20,121.55006408691406
2022-07-21,123.29540252685547
2022-07-22,121.16979217529297
2022-07-25,120.49701690673828
2022-07-26,118.11787414550781
2022-07-27,123.10037994384766
2022-07-28,124.28995513916016
2022-07-29,126.55206298828125
2022-08-01,126.4935531616211
2022-08-02,126.06454467773438
2022-08-03,129.41871643066406
2022-08-04,130.16952514648438
2022-08-05,129.0969696044922
2022-08-08,128.658203125
2022-08-09,127.19561004638672
2022-08-10,130.68629455566406
2022-08-11,130.05252075195312
2022-08-12,132.5681610107422
2022-08-15,133.6016845703125
2022-08-16,133.36770629882812
2022-08-17,131.78810119628906
2022-08-18,132.0903778076172
2022-08-19,129.50653076171875
2022-08-22,126.15233612060547
2022-08-23,126.02555084228516
2022-08-24,126.31806182861328
2022-08-25,128.6094207763672
2022-08-26,123.3734130859375
2022-08-29,122.10585021972656
2022-08-30,120.7602767944336
2022-08-31,120.1459732055664
2022-09-01,120.09722900390625
2022-09-02,118.47865295410156
2022-09-06,117.60110473632812
2022-09-07,119.94122314453125
2022-09-08,120.53599548339844
2022-09-09,123.10037994384766
2022-09-12,124.62144470214844
2022-09-13,117.82535552978516
2022-09-14,118.78091430664062
2022-09-15,116.76254272460938
2022-09-16,115.9630126953125
2022-09-19,116.9840316772461
2022-09-20,116.03629302978516
2022-09-21,113.95513153076172
2022-09-22,112.55794525146484
2022-09-23,110.7992172241211
2022-09-26,110.13479614257812
2022-09-27,110.33021545410156
2022-09-28,112.56770324707031
2022-09-29,109.37272644042969
2022-09-30,107.42835235595703
2022-10-03,109.94918060302734
2022-10-04,113.42752838134766
2022-10-05,113.30050659179688
2022-10-06,112.47976684570312
2022-10-07,108.13182830810547
2022-10-10,107.02774810791016
2022-10-11,105.67939758300781
2022-10-12,105.63053894042969
2022-10-13,108.02433776855469
2022-10-14,104.819580078125
2022-10-17,108.2002182006836
2022-10-18,109.15774536132812
2022-10-19,108.74739837646484
2022-10-20,108.13182830810547
2022-10-21,110.73081970214844
2022-10-24,111.9423828125
2022-10-25,114.19939422607422
2022-10-26,111.67857360839844
2022-10-27,109.63650512695312
2022-10-28,113.02693176269531
2022-10-31,111.7274398803711
2022-11-01,110.5744857788086
2022-11-02,106.83232116699219
2022-11-03,104.75117492675781
2022-11-04,106.34378814697266
2022-11-07,107.53582000732422
2022-11-08,108.33702087402344
2022-11-09,105.85527038574219
2022-11-10,113.57408905029297
2022-11-11,115.74317932128906
2022-11-14,114.72702026367188
2022-11-15,116.31962585449219
2022-11-16,114.70747375488281
2022-11-17,114.48274993896484
2022-11-18,114.59999084472656
2022-11-21,113.3200454711914
2022-11-22,114.89311218261719
2022-11-23,116.17306518554688
2022-11-25,115.33280944824219
2022-11-28,113.61316680908203
2022-11-29,112.81196594238281
2022-11-30,117.97088623046875
2022-12-01,118.08812713623047
2022-12-02,117.58982849121094
2022-12-05,115.67476654052734
2022-12-06,113.368896484375
2022-12-07,112.74357604980469
2022-12-08,114.0625991821289
2022-12-09,113.40797424316406
2022-12-12,114.77587890625
2022-12-13,116.05583953857422
2022-12-14,115.06900024414062
2022-12-15,111.38544464111328
2022-12-16,110.27159881591797
2022-12-19,108.7241439819336
2022-12-20,108.60659790039062
2022-12-21,110.18343353271484
2022-12-22,107.52926635742188
2022-12-23,107.76432037353516
2022-12-27,106.15808868408203
2022-12-28,104.79671478271484
2022-12-29,107.39214324951172
2022-12-30,107.27462005615234
2023-01-03,106.51066589355469
2023-01-04,107.05913543701172
2023-01-05,105.4822998046875
2023-01-06,108.26380920410156
2023-01-09,109.04732513427734
2023-01-10,109.95819854736328
2023-01-11,111.88762664794922
2023-01-12,112.44587707519531
2023-01-13,113.2196044921875
2023-01-17,113.45469665527344
2023-01-18,111.96597290039062
2023-01-19,110.86903381347656
2023-01-20,113.91500091552734
2023-01-23,116.41251373291016
2023-01-24,116.19701385498047
2023-01-25,115.95216369628906
2023-01-26,118.2048110961914
2023-01-27,119.36050415039062
2023-01-30,116.93157196044922
2023-01-31,118.72388458251953
2023-02-01,121.27034759521484
2023-02-02,125.56017303466797
2023-02-03,123.39567565917969
2023-02-06,122.29874420166016
2023-02-07,124.86478424072266
2023-02-08,122.64152526855469
2023-02-09,121.573974609375
2023-02-10,120.78065490722656
2023-02-13,122.72968292236328
2023-02-14,123.61113739013672
2023-02-15,124.5611572265625
2023-02-16,122.22038269042969
2023-02-17,121.34871673583984
2023-02-21,118.51821899414062
2023-02-22,118.52801513671875
2023-02-23,119.56619262695312
2023-02-24,117.57799530029297
2023-02-27,118.43986511230469
2023-02-28,118.30274963378906
2023-03-01,117.31355285644531
2023-03-02,118.38111114501953
2023-03-03,120.76106262207031
2023-03-06,120.907958984375
2023-03-07,119.4192886352539
2023-03-08,120.00692749023438
2023-03-09,117.89139556884766
2023-03-10,116.29495239257812
2023-03-13,117.08828735351562
2023-03-14,119.75226593017578
2023-03-15,120.40848541259766
2023-03-16,123.60134887695312
2023-03-17,123.04308319091797
